Id,Cultivo,Longitud,Latitud,Elevacion,Dataset,Campania,GlobalId
5500,G,-61.73627405885426,-33.80435454564861,,D,18/19,2000
5510,G,-61.73578709202136,-33.80389493650295,,D,18/19,2001
5520,G,-61.73661876571351,-33.80444756178524,,D,18/19,2002
5530,G,-61.736821212599104,-33.80473208173256,,D,18/19,2003
5540,G,-61.73721516329538,-33.80490717093091,,D,18/19,2004
5550,G,-61.73747232555546,-33.805186219340776,,D,18/19,2005
5560,G,-61.73778420319003,-33.8054597962132,,D,18/19,2006
5570,G,-61.73592388045756,-33.80336419737045,,D,18/19,2007
5580,G,-61.73550804361148,-33.80406455416385,,D,18/19,2008
5590,G,-61.73624670116703,-33.80365966039267,,,18/19,2009
5600,G,-61.73577067740902,-33.80425605797454,,,18/19,2010
2010,aa,-62.008078153142044,-33.627353044960905,,D,18/19,2011
2020,aa,-62.0103214834959,-33.62756096338395,,D,18/19,2012
2030,aa,-62.01004790662348,-33.628305092476936,,D,18/19,2013
2040,aa,-62.00865813611159,-33.62851301089998,,D,18/19,2014
2050,aa,-62.009008314508286,-33.62942128611641,,D,18/19,2015
2090,aa,-62.00720270715031,-33.62853489704977,,D,18/19,2016
2100,aa,-62.006480464207115,-33.629465058416,,D,18/19,2017
2110,aa,-62.00569256281454,-33.630351447482646,,D,18/19,2018
2120,aa,-62.0068744149034,-33.6308657720028,,D,18/19,2019
2140,aa,-62.00774986089514,-33.63140198267275,,D,18/19,2020
3950,T,-61.75360515372217,-33.81141009318836,,D,19/20,2021
3950,T,-61.752800837717245,-33.81204205576365,,D,19/20,2022
5970,T,-61.753030642290106,-33.81295306674881,,D,19/20,2023
5970,T,-61.754253530909814,-33.81207488498834,,D,19/20,2024
5980,T,-61.75411400670487,-33.81300231058585,,D,19/20,2025
2800,A,-62.17051065946004,-33.80808818601493,,D,18/19,2026
2801,A,-62.1691974904724,-33.8008000981336,,D,18/19,2027
2802,A,-62.17225060836864,-33.796318908963336,,D,18/19,2028
1440,A,-62.13427129905461,-33.878108818627055,,D,19/20,2029
1442,A,-62.13592096759532,-33.87780104464558,,D,19/20,2030
1443,A,-62.144353974687746,-33.882590007797326,,D,19/20,2031
1444,A,-62.132338478450954,-33.8779118432789,,D,19/20,2032
1445,A,-62.133741927806476,-33.87951226798257,,D,19/20,2033
1447,A,-62.13108276060654,-33.88335328727138,,D,19/20,2034
2808,A,-62.17316161935378,-33.79968185266759,,D,19/20,2035
2561,m,-61.97421651772827,-33.791458131882564,,D,19/20,2036
2562,m,-61.97623551504674,-33.79249225246032,,D,19/20,2037
2081,m,-61.99844448555,-33.8032766527712,,D,19/20,2038
2082,m,-61.99972482531293,-33.804113798000806,,D,19/20,2039
4550,m,-61.73172755320367,-33.80859498717105,,D,18/19,2040
4552,m,-61.7327739847407,-33.810318521467316,,D,18/19,2041
3301,m,-61.90408713830936,-33.66966581193317,,D,19/20,2042
3302,m,-61.904659597914886,-33.670521423601684,,D,19/20,2043
3710,B,-61.49571415324928,-33.82725224592808,,D,19/20,2044
2580,B,-61.967937928506146,-33.78571506938818,,D,19/20,2045
2680,B,-62.30517203548807,-33.64977745725028,,D,19/20,2046
2700,B,-62.30156492442519,-33.65326145872057,,D,19/20,2047
2490,B,-62.09850796240716,-33.934468390114745,,D,19/20,2048
2495,B,-61.49800399167138,-33.82334967184294,,D,19/20,2049
4880,R,-61.377307347096135,-33.63516434860981,,D,18/19,2050
4870,R,-61.380428175268285,-33.62889191486736,,D,18/19,2051
4240,R,-61.66986498292711,-33.75855709326283,,D,18/19,2052
4220,R,-61.67119456652709,-33.760945419359075,,D,18/19,2053
2330,R,-62.015162768223675,-33.80716076041737,,D,18/19,2054
1090,R,-62.175476079694434,-33.86768143613468,,D,18/19,2055
